j_name,j_code,j_url,j_big_type,j_small_type
哲学研究,ZXYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZXYJ&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e5%93%b2%e5%ad%a6%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],哲学(除心理学)
伦理学研究,YJLL,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=59&BaseID=YJLL&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e4%bc%a6%e7%90%86%e5%ad%a6%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],哲学(除心理学)
哲学动态,ZXDT,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZXDT&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e5%93%b2%e5%ad%a6%e5%8a%a8%e6%80%81,['综合性人文、社会科学'],哲学(除心理学)
中国哲学史,ZZXS,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZZXS&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e4%b8%ad%e5%9b%bd%e5%93%b2%e5%ad%a6%e5%8f%b2,['综合性人文、社会科学'],哲学(除心理学)
世界哲学,ZXYC,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZXYC&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e4%b8%96%e7%95%8c%e5%93%b2%e5%ad%a6,['综合性人文、社会科学'],哲学(除心理学)
孔子研究,KZYJ,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=KZYJ&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e5%ad%94%e5%ad%90%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],哲学(除心理学)
道德与文明,DDYW,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=DDYW&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e9%81%93%e5%be%b7%e4%b8%8e%e6%96%87%e6%98%8e,['综合性人文、社会科学'],哲学(除心理学)
现代哲学,XDZI,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=XDZI&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e7%8e%b0%e4%bb%a3%e5%93%b2%e5%ad%a6,['综合性人文、社会科学'],哲学(除心理学)
周易研究,ZYJY,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=ZYJY&NaviLink=%e5%93%b2%e5%ad%a6(%e9%99%a4%e5%bf%83%e7%90%86%e5%ad%a6)-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010002%253F%26OrderBy%3didno%7c%e5%91%a8%e6%98%93%e7%a0%94%e7%a9%b6,['综合性人文、社会科学'],哲学(除心理学)
心理学报,XLXB,https://epub.cnki.net/kns/oldnavi/n_item.aspx?NaviID=31&BaseID=XLXB&NaviLink=%e5%bf%83%e7%90%86%e5%ad%a6-%2fkns%2foldnavi%2fn_list.aspx%3fNaviID%3d31%26Field%3dhx_sort%26Value%3d00010003%253F%26OrderBy%3didno%7c%e5%bf%83%e7%90%86%e5%ad%a6%e6%8a%a5,['综合性人文、社会科学'],心理学
